,aerobic_lb,aerobic_EX_cm_e,aerobic_EX_lys__L_e,aerobic_EX_dmso_e,anaerobic_lb,anaerobic_EX_cm_e,anaerobic_EX_lys__L_e,anaerobic_EX_dmso_e
rhtB,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
argB,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
cpsB,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
gltA,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
glpQ,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
speG,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
araF,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
cysH,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
sdhC,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
lpxM,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
araH,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
proC,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
malQ,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
xylG,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
dcuC,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
carA,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
ulaC,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
nikB,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
yddG,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
nadC,41.99913359543453,41.99913359543453,41.99913359543453,44.68352758708939,33.05090814356451,33.05090814356451,33.05090814356451,35.73528219751301
yahI,41.99932383835659,41.99932383835659,41.99932383835659,44.68372998947554,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
cyoA,40.20996044350991,40.20996044350991,40.20996044350991,42.89438266418627,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
prpC,41.99932383835658,41.99932383835658,41.99932383835658,44.683729989475616,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
gcd,41.99932383835658,41.99932383835658,41.99932383835658,44.683729989475616,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
garL,41.99932383835658,41.99932383835658,41.99932383835658,44.683729989475616,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
torA,41.99932383835658,41.99932383835658,41.99932383835658,44.683729989475616,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
ilvB,41.99932383835658,41.99932383835658,41.99932383835658,44.683729989475616,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
bacA,41.99932383835658,41.99932383835658,41.99932383835658,44.683729989475616,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
xdhC,41.99932383835658,41.99932383835658,41.99932383835658,44.683729989475616,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
cadA,41.99932383835658,41.99932383835658,41.99932383835658,44.683729989475616,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
glcB,41.99932383835658,41.99932383835658,41.99932383835658,44.683729989475616,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
zitB,41.99932383835658,41.99932383835658,41.99932383835658,44.683729989475616,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
nrfA,41.99932383835658,41.99932383835658,41.99932383835658,44.683729989475616,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
paaG,41.99932383835658,41.99932383835658,41.99932383835658,44.683729989475616,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
feaB,41.99932383835658,41.99932383835658,41.99932383835658,44.683729989475616,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
fes,41.99932383835658,41.99932383835658,41.99932383835658,44.683729989475616,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
fhuF,41.99932383835658,41.99932383835658,41.99932383835658,44.683729989475616,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
kdpC,41.99932383835658,41.99932383835658,41.99932383835658,44.683729989475616,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
cysI,41.99932383835658,41.99932383835658,41.99932383835658,44.683729989475616,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
grxB,41.99932383835658,41.99932383835658,41.99932383835658,44.683729989475616,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
gatD,41.99932383835658,41.99932383835658,41.99932383835658,44.683729989475616,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
metE,41.99932383835658,41.99932383835658,41.99932383835658,44.683729989475616,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
dkgB,41.99932383835658,41.99932383835658,41.99932383835658,44.683729989475616,33.0510578527157,33.0510578527157,33.0510578527157,35.735444065947675
