,aerobic_lb,aerobic_EX_cm_e,aerobic_EX_lys__L_e,aerobic_EX_dmso_e,anaerobic_lb,anaerobic_EX_cm_e,anaerobic_EX_lys__L_e,anaerobic_EX_dmso_e
argB,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
cpsB,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
gltA,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
glpQ,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
speG,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
araF,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
cysH,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
sdhC,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
lpxM,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
araH,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
metC,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
nudE,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
lysA,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
hycD,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
rihB,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
ddpC,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
trpD,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
ycjG,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
wcaH,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
alsA,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
napH,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
pepA,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
gshB,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
potF,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
potA,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
aroK,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
gatA,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
dppF,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
treF,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
hemX,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
napB,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
dld,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
btuB,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
hemN,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,0.0,0.0,0.0,0.0
potG,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271575,33.05105785271575,33.05105785271575,35.73544406594789
dmsA,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271575,33.05105785271575,33.05105785271575,35.73544406594789
cyoB,40.20996044350995,40.20996044350995,40.20996044350995,42.89438266418621,33.05105785271575,33.05105785271575,33.05105785271575,35.73544406594789
glpD,41.99932383835661,41.99932383835661,41.99932383835661,44.68372998947557,33.05105785271575,33.05105785271575,33.05105785271575,35.73544406594789
trpB,41.99932383835661,41.99932383835661,41.99932383835661,44.68372998947557,33.05105785271575,33.05105785271575,33.05105785271575,35.73544406594789
poxB,41.99932383835661,41.99932383835661,41.99932383835661,44.68372998947557,33.05105785271575,33.05105785271575,33.05105785271575,35.73544406594789
sgcE,41.99932383835661,41.99932383835661,41.99932383835661,44.68372998947557,33.05105785271575,33.05105785271575,33.05105785271575,35.73544406594789
gudP,41.99932383835661,41.99932383835661,41.99932383835661,44.68372998947557,33.05105785271575,33.05105785271575,33.05105785271575,35.73544406594789
adhP,41.99932383835661,41.99932383835661,41.99932383835661,44.68372998947557,33.05105785271575,33.05105785271575,33.05105785271575,35.73544406594789
fhuC,41.99932383835661,41.99932383835661,41.99932383835661,44.68372998947557,33.05105785271575,33.05105785271575,33.05105785271575,35.73544406594789
adiA,41.65062911490135,41.65062911490135,41.65062911490135,44.33819674485009,32.69182724866079,32.69182724866079,32.69182724866079,35.37937489373274
fbp,41.999323838356595,41.999323838356595,41.999323838356595,44.68372998947557,33.05105785271575,33.05105785271575,33.05105785271575,35.73544406594789
hycB,41.999323838356595,41.999323838356595,41.999323838356595,44.68372998947557,33.05105785271575,33.05105785271575,33.05105785271575,35.73544406594789
grxA,41.999323838356595,41.999323838356595,41.999323838356595,44.68372998947557,33.05105785271575,33.05105785271575,33.05105785271575,35.73544406594789
proC,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
malQ,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
xylG,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
dcuC,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
carA,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
ulaC,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
nikB,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
yddG,41.99932383835661,41.99932383835661,41.99932383835661,44.683729989475566,33.05105785271572,33.05105785271572,33.05105785271572,35.73544406594764
nadC,41.99913359543455,41.99913359543455,41.99913359543455,44.6835275870894,33.050908143564534,33.050908143564534,33.050908143564534,35.73528219751297
yahI,41.99932383835662,41.99932383835662,41.99932383835662,44.683729989475566,33.05105785271573,33.05105785271573,33.05105785271573,35.73544406594764
cyoA,40.20996044350995,40.20996044350995,40.20996044350995,42.8943826641862,33.05105785271573,33.05105785271573,33.05105785271573,35.73544406594764
prpC,41.9993238383566,41.9993238383566,41.9993238383566,44.68372998947556,33.05105785271573,33.05105785271573,33.05105785271573,35.73544406594764
gcd,41.9993238383566,41.9993238383566,41.9993238383566,44.68372998947556,33.05105785271573,33.05105785271573,33.05105785271573,35.73544406594764
garL,41.9993238383566,41.9993238383566,41.9993238383566,44.68372998947556,33.05105785271573,33.05105785271573,33.05105785271573,35.73544406594764
torA,41.9993238383566,41.9993238383566,41.9993238383566,44.68372998947556,33.05105785271573,33.05105785271573,33.05105785271573,35.73544406594764
ilvB,41.9993238383566,41.9993238383566,41.9993238383566,44.68372998947556,33.05105785271573,33.05105785271573,33.05105785271573,35.73544406594764
bacA,41.9993238383566,41.9993238383566,41.9993238383566,44.68372998947556,33.05105785271573,33.05105785271573,33.05105785271573,35.73544406594764
xdhC,41.9993238383566,41.9993238383566,41.9993238383566,44.68372998947556,33.05105785271573,33.05105785271573,33.05105785271573,35.73544406594764
cadA,41.9993238383566,41.9993238383566,41.9993238383566,44.68372998947556,33.05105785271573,33.05105785271573,33.05105785271573,35.73544406594764
glcB,41.9993238383566,41.9993238383566,41.9993238383566,44.68372998947556,33.05105785271573,33.05105785271573,33.05105785271573,35.73544406594764
zitB,41.9993238383566,41.9993238383566,41.9993238383566,44.68372998947556,33.05105785271573,33.05105785271573,33.05105785271573,35.73544406594764
